cell,seed,n_trips,slot,kind,tie_margin,economic,load_l1,load_jump_slot,delta_lo,delta_hi,schedule_changed,margin_b_at_a,margin_a_at_b
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.42,-1.41,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.28,-1.27,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.26,-1.25,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.19,-1.18,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.16,-1.15,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.15,-1.14,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.14,-1.13,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.11,-1.1,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.09,-1.08,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.03,-1.02,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-1.02,-1.01,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.98,-0.97,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.96,-0.95,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.92,-0.91,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.91,-0.9,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.85,-0.84,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.81,-0.8,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.74,-0.73,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.73,-0.72,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.71,-0.7,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.66,-0.65,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,-0.48,-0.47,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.28,0.29,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.3,0.31,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.37,0.38,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.43,0.44,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.44,0.45,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.46,0.47,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.49,0.5,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.5,0.51,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.53,0.54,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.66,0.67,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.67,0.68,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.73,0.74,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,4.099099126e-05,0,0.89,0.9,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.9,0.91,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.92,0.93,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.93,0.94,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,0.99,1,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,1.15,1.16,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,1.35,1.36,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,1.36,1.37,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,1.37,1.38,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,1.38,1.39,True,,
s2_n8_slot20,2,8,20,degenerate_tie,False,False,0,0,1.39,1.4,True,,
s3_n8_slot8,3,8,8,degenerate_tie,False,False,0,0,-1.03,-1.02,True,,
s3_n8_slot8,3,8,8,degenerate_tie,False,False,0,0,-0.14,-0.13,True,,
s3_n8_slot12,3,8,12,degenerate_tie,False,False,0,0,-1.49,-1.48,True,,
s3_n8_slot12,3,8,12,degenerate_tie,False,False,0,0,-1.48,-1.47,True,,
s3_n8_slot12,3,8,12,degenerate_tie,False,False,0,0,-1.47,-1.46,True,,
s3_n8_slot12,3,8,12,degenerate_tie,False,False,0,0,-1.46,-1.45,True,,
s3_n8_slot12,3,8,12,degenerate_tie,False,False,0,0,-1.45,-1.44,True,,
s3_n8_slot12,3,8,12,degenerate_tie,False,False,0,0,-1.44,-1.43,True,,
s3_n8_slot12,3,8,12,degenerate_tie,False,False,0,0,-1.43,-1.42,True,,
